"","V1","V2"
"1","stori","-0.00280244689415398"
"2","drug","-0.00266655386217354"
"3","drill","-0.00200393749198286"
"4","time","-0.00186195019090417"
"5","newspap","-0.00178279559886727"
"6","amazon","-0.00175585489513247"
"7","write","-0.00174057582287774"
"8","news","-0.00172729557308552"
"9","journalist","-0.00166860721153481"
"10","hulu","-0.00153913975194762"
"11","food","-0.00149611066680201"
"12","broadway","-0.0013943932201057"
"13","read","-0.00137106995714556"
"14","diseas","-0.00132965949031211"
"15","realli","-0.00130110016826515"
"16","fire","-0.00129105715509724"
"17","say","-0.00126487685966316"
"18","york","-0.00126487685966316"
"19","media","-0.00124802806995163"
"20","plant","-0.00123717574762763"
"21","play","-0.00121746992544216"
"22","new","-0.00121051744633249"
"23","writer","-0.00118048620853944"
"24","tribun","-0.00116963388621545"
"25","group","-0.00110727918303473"
"26","technolog","-0.00106306058458268"
"27","way","-0.00105339777556513"
"28","just","-0.00104535358485972"
"29","patient","-0.00104378386740292"
"30","organ","-0.00104216524909077"
"31","live","-0.0010413559399347"
"32","fiction","-0.00102488735437353"
"33","someth","-0.00100437222303198"
"34","chicago","-0.000982667578383994"
"35","citi","-0.000975812900985027"
"36","label","-0.000971005946903926"
"37","activist","-0.000963771065354597"
"38","sometim","-0.000947682683943789"
"39","scienc","-0.00094044780239446"
"40","auction","-0.000933212920845132"
